1,Хлеб Harry`s American Sandwich сэндвичный пшеничный 470 г,https://arbuz.kz/image/f/238564-hleb_harry_s_american_sandwich_sendvichnyi_pshenichnyi_470_g.jpg,560,Harry`s American Sandwich,"Пшеничный хлеб Harry's American Sandwich — мягкий, с тонкой корочкой, идеально подходящий для классических сэндвичей. Чуть сладковатый хлеб прекрасно подрумянивается в тостере, сэндвичнице или духовке: он становится хрустящим снаружи, но остается мягким внутри. ,мука пшеничная хлебопекарная в/с, вода, сахар, жир растительный, улучшители хлебопекарные (эмульгатор (моно- и диглицериды жирных кислот), консервант- пропионат кальция, мука пшеничная хлебопекарная, мука соевая, ферменты, антиокислитель- кислота аскорбиновая), спирт пищевой, соль, клейковина пшеничная сухая, дрожжи. Может содержать кунжут, следы яичных и молочных продуктов.",Хлеб
2,Хлеб Литовский Хлеб для сэндвичей Toast & Taste нарезанный 500 г,https://arbuz.kz/image/f/230160-hleb_litovskii_hleb_dlya_sendvichei_toast_taste_narezannyi_500_g.jpg,440,Литовский Хлеб,"Тостерный хлеб удобно нарезан на ломтики. Идеально подходит для приготовления бутербродов, сэндвичей или дополнением к первым и вторым блюдам.,Состав: мука высший сорт, соль, дрожжи, сахар, маргарин, вода.",Хлеб
3,Тортилья Mission пшеничная мультизлаковая 166 г,https://arbuz.kz/image/f/244350-tortilya_mission_pshenichnaya_multizlakovaya_166_g.jpg,435,Mission,"Пшеничные лепешки Mission мультизлаковые приготовлены из пшеничной муки высшего сорта с добавлением пшеничных отрубей и семен льна! Поэтому они и вкусные, и полезные! Не забывайте, что в одной лепешке Mission содержится на 40% меньше калорий, чем в двух кусках хлеба!,Лепешки станут эластичнее, если перед приготовлением сбрызнуть их водой и разогреть в микроволновой печи, на гриле или сковороде.,мука пшеничная в/с, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (Е319, лимонная кислота)), отруби пшеничные, масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий глицерин, семена льна, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота, яблочная кислота), соль, глютен пшеничный, консерванты (сорбат калия, пропионат кальция, Е223), стабилизатор Е466, агент антислеживающий Е536. Может содержать следовые количества молочных продуктов., ",Хлеб
5,Лаваш Mission Деревенский 270 г,https://arbuz.kz/image/f/244353-lavash_mission_derevenskii_270_g.jpg,545,Mission,"В рецептуру нашего ""Деревенского"" лаваша добавлен солод — поэтому у него такой яркий, аппетитный аромат!,Лаваш Missin изготовлен по оригинальной рецептуре - он тонкий и эластичный как традиционный лаваш и упругий как пшеничная тортилья! Его плотная текстура великолепно ""держит"" соус, поэтому заворачивать можно абсолютно любые начинки –традиционные мясные, овощные и даже салаты.",Хлеб
6,Тортилья Delicados Сырная 400 г,https://arbuz.kz/image/f/244354-tortilya_delicados_syrnaya_400_g.jpg,925,Delicados,"Тортилья широко используется в мексиканской кухне как замена обычному хлебу, а также для приготовления национальных блюд — кесадильи, буррито, фахитос, и многих других.,Состав: мука пшеничная в/с, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (Е319, лимонная кислота)), ароматизатор (сыворотка молочная сухая, соль, лук порошок, чеснок порошок, усилители вкуса и аромата (Е621, Е627, Е631), глюкоза, жир растительный, натуральные вкусоароматические вещества, вкусоароматические вещества, регуляторы кислотности (молочная кислота, винная кислота, лимонная кислота, лактат кальция), агент антислеживающий Е551), масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий глицерин, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота, яблочная кислота), соль, глютен пшеничный, консерванты (сорбат калия, пропионат кальция, Е223), стабилизатор Е466, краситель бета-каротин , антиокислитель альфа-Токоферол, агент антислеживающий Е536.",Хлеб
7,Тортилья Delicados Томатная 400 г,https://arbuz.kz/image/f/244355-tortilya_delicados_tomatnaya_400_g.jpg,925,Delicados,"В рецептуру Тортилий Delicados Томатные добавлен томат, что придает им пикантный вкус и насыщенный оранжевый цвет.,Мексиканская лепешка Тортилья — это один из символов Мексики! Без Тортильи не обходится ни одна мексиканская семья уже более 3000 лет. Тортилья широко используется в мексиканской кухне как замена обычному хлебу, а также для приготовления национальных блюд— кесадильи, буррито, фахитос, и многих других. ,мука пшеничная в/с, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (Е319, лимонная кислота)), томатная паста, масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий глицерин, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота, яблочная кислота), специи (паприка молотая, семена кумина молотые, перец красный молотый), соль, глютен пшеничный, консерванты (сорбат калия, пропионат кальция, Е223 ), стабилизатор Е466, агент антислеживающий Е536.",Хлеб
8,Булочки Литовский Хлеб для бургеров 5 шт,https://arbuz.kz/image/f/205430-bulochki_litovskii_hleb_dlya_burgerov_5_sht.jpg,220,Литовский Хлеб,"Гамбургеры любят во всём мире, это и сытный перекус, и прекрасное блюдо для пикника. С булочками вы сможете приготовить мясные бургеры, чизбургеры, чикенбургеры, тофу и фишбургеры. Можно приготовить и полезный вегетарианский гамбургер.,Состав: мука высший сорт, соль, дрожжи, сахар, масло, вода, семена кунжута.",Хлеб
9,Булочки Литовский Хлеб для Хот Догов 5 шт,https://arbuz.kz/image/f/205445-bulochki_litovskii_hleb_dlya_hot_dogov_5_sht.jpg,220,Литовский Хлеб,"Булочки из пшеничной муки приготовлены без использования консервантов. Специальная удлиненная форма станет идеальным выбором для приготовления аппетитных хот-догов.,Состав: мука высший сорт, соль, дрожжи, сахар, масло, вода.",Хлеб
10,Хлеб Беккер Бородинский,https://arbuz.kz/image/f/202759-hleb_bekker_borodinskii.jpg,300,Беккер," Мука ржаная, мука пшеничная 1с, вода, сахар-песок, солод ржаной, патока, соль,закваска, регулятор кислотности Е330, Е263, дрожжи хлебопекарные, кориандр.,Энергетическая ценность на 100г:,Белки - 6,5 г, жиры - , углеводы - 43 г, калорийность - 200 ккал/840 кДж, ",Хлеб
11,Хлеб Аксай нан бородинский,https://arbuz.kz/image/f/20149-hleb_aksai_nan_borodinskii.jpg,143,Аксай нан,"Любимый сорт черного ржаного хлеба, как в советское время, так и сейчас, бородинский хлеб отличается плотной структурой, легкой кислинкой и приправлен ароматным кориандром., ",Хлеб
